2.6 	0.17	2.51
2.9	0.43	2.56
3.1	0.55	2.57
3.6	0.99	2.62
3.9	1.25	2.64
4.5	1.79	2.67
5	2.39	2.70
6	3.36	2.75
7	4.38	2.79
7.5	4.83	2.80
